domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.khan.co.kr,0.006803059016600683,0.13549806327550223,0.3670989889911951,0.14669531252874896,64.0
www.ohmynews.com,0.03604809987791591,0.10913965406082407,0.42093015390093313,0.11699938426264586,33.0
zdnet.co.kr,0.04862322475313178,0.08552595238667239,0.3296776134155611,0.13307187787408778,33.0
www.inews24.com,0.01889684012132992,0.07617189070531177,0.3858453706157788,0.10851735570483502,7.0
star.ohmynews.com,0.10787885861415274,0.15857736967762118,0.406050561638797,0.1348983746393586,6.0
chunchu.tistory.com,0.22447552447552446,0.1491114242173246,0.55500333000333,0.10215125571007821,3.0
www.venturesquare.net,0.10530303030303029,0.2022929424695848,0.3846212121212121,0.19854407224238538,3.0
photohistory.tistory.com,0.15602564102564104,0.06509008575537707,0.5383653846153846,0.09070004289450528,2.0
kbench.com,0.0,1.0,0.0,1.0,1.0
slownews.kr,0.0,1.0,0.0,1.0,1.0
www.chosun.com,0.0,1.0,0.0,1.0,1.0
