,phrase,label,sentiment,subjectivity,language,count
first,first,ORDINAL,,,en,57.93571428571423
summer,summer,DATE,,,en,30.914285714285693
this day,this day,DATE,,,en,30.09999999999998
Gyeongsangbuk,Gyeongsangbuk,NORP,,,en,22.599999999999994
Korean,Korean,NORP,,,en,22.024999999999995
this year,this year,DATE,,,en,19.9
this summer,this summer,DATE,,,en,19.0
the 18th,the 18th,DATE,,,en,17.066666666666666
5th,5th,ORDINAL,,,en,16.300000000000004
1,1,CARDINAL,,,en,15.900000000000004
the 2nd,the 2nd,DATE,,,en,15.500000000000004
4th,4th,ORDINAL,,,en,15.225000000000003
the 25th,the 25th,DATE,,,en,15.100000000000003
6th,6th,ORDINAL,,,en,14.700000000000003
one,one,CARDINAL,,,en,14.273684210526318
the 17th,the 17th,DATE,,,en,14.000000000000004
three,three,CARDINAL,,,en,13.600000000000003
9th,9th,ORDINAL,,,en,12.700000000000003
the 15th,the 15th,DATE,,,en,12.200000000000003
the summer,the summer,DATE,,,en,12.19166666666667
10th,10th,ORDINAL,,,en,11.76666666666667
last year,last year,DATE,,,en,11.700000000000003
the 29th,the 29th,DATE,,,en,11.400000000000002
the 12th,the 12th,DATE,,,en,11.233333333333334
the 24th,the 24th,DATE,,,en,11.150000000000002
7th,7th,ORDINAL,,,en,10.550000000000002
4,4,CARDINAL,,,en,10.075000000000001
the 19th,the 19th,DATE,,,en,9.700000000000001
the 22nd,the 22nd,DATE,,,en,9.600000000000001
the 14th,the 14th,DATE,,,en,9.200000000000001
the 28th,the 28th,DATE,,,en,9.000000000000002
the rainy season,the rainy season,DATE,,,en,8.8
today,today,DATE,,,en,8.640350877192983
2026,2026,DATE,,,en,8.416666666666668
year,year,DATE,,,en,8.350000000000001
the 13th,the 13th,DATE,,,en,8.285714285714286
the 20th,the 20th,DATE,,,en,8.200000000000001
the 8th,the 8th,DATE,,,en,8.200000000000001
the 16th,the 16th,DATE,,,en,8.200000000000001
five,five,CARDINAL,,,en,8.125
the 26th,the 26th,DATE,,,en,8.100000000000001
second,second,ORDINAL,,,en,7.933333333333335
the weekend,the weekend,DATE,,,en,7.800000000000002
the 21st,the 21st,DATE,,,en,7.598684210526318
2024,2024,DATE,,,en,7.557142857142859
3rd,3rd,ORDINAL,,,en,7.300000000000001
daily,daily,DATE,,,en,7.300000000000001
Gwanghwamun Square,Gwanghwamun Square,FAC,,,en,7.300000000000001
35 degrees,35 degrees,QUANTITY,,,en,7.300000000000001
△,△,PRODUCT,,,en,7.300000000000001
Venture Square,Venture Square,FAC,,,en,7.100000000000001
7.1,7.1,CARDINAL,,,en,6.8999999999999995
2,2,CARDINAL,,,en,6.800000000000002
Taean,Taean,PRODUCT,,,en,6.4
30 degrees,30 degrees,QUANTITY,,,en,6.4
May,May,DATE,,,en,6.4
Venezuelan,Venezuelan,NORP,,,en,6.4
every year,every year,DATE,,,en,6.4
June,June,DATE,,,en,6.4
the previous day,the previous day,DATE,,,en,6.4
last year's,last year's,DATE,,,en,6.300000000000001
the 23rd,the 23rd,DATE,,,en,6.300000000000001
6,6,CARDINAL,,,en,6.242857142857144
two,two,CARDINAL,,,en,6.200000000000001
the 27th,the 27th,DATE,,,en,6.185714285714287
the 1st,the 1st,DATE,,,en,6.028571428571429
11,11,CARDINAL,,,en,5.875000000000001
four,four,CARDINAL,,,en,5.7
the day,the day,DATE,,,en,5.7
11th,11th,ORDINAL,,,en,5.533333333333334
the 30th,the 30th,DATE,,,en,5.5166666666666675
night,night,TIME,,,en,5.5
38 degrees,38 degrees,QUANTITY,,,en,5.5
11 a.m.,11 a.m.,TIME,,,en,5.5
10,10,CARDINAL,,,en,5.5
Chinese,Chinese,NORP,,,en,5.3999999999999995
