,phrase,label,sentiment,subjectivity,language,count
the Korea Forest Service,the Korea Forest Service,ORG,0.004401408450704226,0.27024647887323944,en,7.1000000000000005
the Korea Meteorological Administration,the Korea Meteorological Administration,ORG,-0.017548500881834215,0.2873015873015873,en,6.300000000000001
ZD Net Korea,ZD Net Korea,ORG,0.016686456400742112,0.29307050092764375,en,5.833333333333334
Yonhap News,Yonhap News,ORG,0.06791666666666668,0.36250000000000004,en,4.5
ZD Net Korea],ZD Net Korea],ORG,-0.010964912280701752,0.3092105263157895,en,3.8
the Korea Disease Control and Prevention Agency,the Korea Disease Control and Prevention Agency,ORG,-0.02027027027027027,0.1418918918918919,en,3.6999999999999997
Forest,Forest,ORG,-0.11711711711711713,0.3378378378378379,en,3.6999999999999997
The Korea Meteorological Administration,The Korea Meteorological Administration,ORG,-7.50150692314295e-18,0.19369369369369369,en,3.6999999999999997
The Korea Forest Service,The Korea Forest Service,ORG,0.11566924066924068,0.12274774774774777,en,3.6999999999999997
Uljin,Uljin,ORG,0.032467532467532464,0.030303030303030307,en,3.3
Korea Forest Service,Korea Forest Service,ORG,0.022767857142857145,0.11830357142857144,en,2.8
Cheorwon,Cheorwon,ORG,0.0,0.08928571428571429,en,2.8
the Ministry of Public Administration and Security,the Ministry of Public Administration and Security,ORG,0.013392857142857146,0.1860119047619048,en,2.8
Hyundai Motor Company,Hyundai Motor Company,ORG,0.09722222222222222,0.125,en,2.4
Nokjeon-myeon,Nokjeon-myeon,ORG,0.0,0.0,en,2.4
Hyundai Motors,Hyundai Motors,ORG,0.0,0.04166666666666667,en,2.4
GD Net Korea,GD Net Korea,ORG,0.011363636363636364,0.056818181818181816,en,2.2
AI,AI,ORG,0.0,0.23255813953488372,en,2.15
Zero Trust,Zero Trust,ORG,0.12916666666666665,0.4,en,2.0
Nix,Nix,ORG,0.0,0.5263157894736842,en,1.9
KAIST,KAIST,ORG,0.06315789473684211,0.15789473684210525,en,1.9
Mythos,Mythos,ORG,0.31578947368421056,0.39473684210526316,en,1.9
CJ Olive Young,CJ Olive Young,ORG,0.10338345864661656,0.2199248120300752,en,1.9
El Niño,El Niño,ORG,-0.07017543859649122,0.2894736842105263,en,1.9
the Ministry of the Interior and Safety,the Ministry of the Interior and Safety,ORG,-0.052631578947368425,0.0,en,1.9
The Ministry of Labor,The Ministry of Labor,ORG,0.0,0.2631578947368421,en,1.9
Cabinet,Cabinet,ORG,0.0,0.2631578947368421,en,1.9
PTSD,PTSD,ORG,0.07631578947368423,0.14561403508771928,en,1.9
Sangnam-myeon,Sangnam-myeon,ORG,0.052631578947368425,0.2105263157894737,en,1.9
Space.com,Space.com,ORG,0.15789473684210528,0.3223684210526316,en,1.9
"The Ministry of Climate, Energy and Environment","The Ministry of Climate, Energy and Environment",ORG,-0.05263157894736842,0.2631578947368421,en,1.9
the Korea Institute of Geoscience and Mineral Resources,the Korea Institute of Geoscience and Mineral Resources,ORG,0.17543859649122806,0.2631578947368421,en,1.9
BM,BM,ORG,0.13157894736842105,0.17543859649122806,en,1.9
Buk-myeon,Buk-myeon,ORG,0.05639097744360902,0.0,en,1.9
Super El Niño,Super El Niño,ORG,0.2921052631578947,0.2916666666666667,en,1.9
the National Heritage Administration,the National Heritage Administration,ORG,0.011111111111111112,0.05555555555555556,en,1.8
ODA,ODA,ORG,0.005555555555555556,0.05555555555555556,en,1.8
NIPA,NIPA,ORG,-0.12000000000000002,0.12000000000000002,en,1.6666666666666665
LG,LG,ORG,0.0,0.08333333333333334,en,1.5999999999999999
NISAR,NISAR,ORG,0.03333333333333333,0.0,en,1.5
Andong City Council,Andong City Council,ORG,-0.10925925925925926,0.0,en,1.5
Pulmuone,Pulmuone,ORG,0.3333333333333333,0.3333333333333333,en,1.5
POSCO Future M,POSCO Future M,ORG,0.0,0.08928571428571429,en,1.4
Golf Zone Group,Golf Zone Group,ORG,0.029761904761904764,0.04761904761904762,en,1.4
Halla,Halla,ORG,0.0,0.09523809523809525,en,1.4
Yeouido,Yeouido,ORG,0.36363636363636365,0.0,en,1.375
Inogrid,Inogrid,ORG,-0.07500000000000001,0.07500000000000001,en,1.3333333333333333
ZD,ZD,ORG,0.025568181818181816,0.17897727272727273,en,1.3333333333333333
SaaS,SaaS,ORG,-0.07500000000000001,0.07500000000000001,en,1.3333333333333333
Supernatural Operation Team,Supernatural Operation Team,ORG,0.11018518518518515,0.37592592592592594,en,1.2857142857142856
Democratic Party,Democratic Party,ORG,-0.042388167388167385,0.15555555555555559,en,1.2857142857142856
Hyundai Future Net,Hyundai Future Net,ORG,0.02,0.045,en,1.25
the National Assembly,the National Assembly,ORG,0.07575757575757575,0.34848484848484845,en,1.1
Durban GC,Durban GC,ORG,0.0,0.0,en,1.1
Daejin Industrial Complex,Daejin Industrial Complex,ORG,-0.15,0.0,en,1.0
3년간 영남권,3년간 영남권,ORG,0.0,0.0,en,1.0
NOAA,NOAA,ORG,0.13333333333333333,0.0,en,1.0
Golfzon Group,Golfzon Group,ORG,0.03333333333333333,0.0,en,1.0
the JW Marriott Hotel,the JW Marriott Hotel,ORG,0.0,0.0,en,1.0
Golfzon Commerce,Golfzon Commerce,ORG,0.0,0.0,en,1.0
Golfzon Group's,Golfzon Group's,ORG,0.0,0.0,en,1.0
the Green Party,the Green Party,ORG,-0.1,0.0,en,1.0
CSO,CSO,ORG,0.0,0.0,en,1.0
Green Party,Green Party,ORG,-0.1638888888888889,0.0,en,1.0
Atmospheric Administration,Atmospheric Administration,ORG,0.13333333333333333,0.0,en,1.0
산림청,산림청,ORG,0.0,0.0,en,1.0
Gangnam,Gangnam,ORG,-0.1638888888888889,0.0,en,1.0
Namseon-myeon,Namseon-myeon,ORG,-0.1638888888888889,0.0,en,1.0
Imha-myeon,Imha-myeon,ORG,-0.1638888888888889,0.0,en,1.0
"Andong, Sancheong","Andong, Sancheong",ORG,0.0,0.0,en,1.0
ZD Net Korea] Pulmuone,ZD Net Korea] Pulmuone,ORG,0.0,0.0,en,1.0
the National Park Service,the National Park Service,ORG,0.0,0.0,en,1.0
the Ulsan Creative Economy Innovation Center,the Ulsan Creative Economy Innovation Center,ORG,0.2272727272727273,0.0,en,1.0
United States,United States,ORG,0.13333333333333333,0.0,en,1.0
Hyundai Motor Company Hyundai Motor Company,Hyundai Motor Company Hyundai Motor Company,ORG,0.0,0.0,en,1.0
the Korea Occupational Safety and Health Agency,the Korea Occupational Safety and Health Agency,ORG,0.2272727272727273,0.0,en,1.0
ZDNet Korea,ZDNet Korea,ORG,0.0,0.0,en,1.0
Flat Letter,Flat Letter,ORG,0.030000000000000006,0.0,en,1.0
The World Meteorological Organization (WMO,The World Meteorological Organization (WMO,ORG,-0.2,0.0,en,1.0
"Ministry of Land, Infrastructure and Transport","Ministry of Land, Infrastructure and Transport",ORG,0.12,0.0,en,1.0
AFP Yonhap News,AFP Yonhap News,ORG,-0.2,0.0,en,1.0
Ilsan Natural Forest Tree Ranch,Ilsan Natural Forest Tree Ranch,ORG,0.1,0.0,en,1.0
​,​,ORG,0.5,0.0,en,1.0
the Jeronimos Monastery,the Jeronimos Monastery,ORG,0.0,0.0,en,1.0
K News,K News,ORG,0.0,0.0,en,1.0
K Channel 82,K Channel 82,ORG,0.0,0.0,en,1.0
K Channel 82’,K Channel 82’,ORG,0.043750000000000004,0.0,en,1.0
the American Sinclair Group,the American Sinclair Group,ORG,0.043750000000000004,0.0,en,1.0
K News Is,K News Is,ORG,-0.02500000000000001,0.0,en,1.0
K-Entertech Hub,K-Entertech Hub,ORG,-0.02500000000000001,0.0,en,1.0
Gizmodo,Gizmodo,ORG,0.08333333333333333,0.0,en,1.0
Seoul Forest,Seoul Forest,ORG,0.0,0.0,en,1.0
Focus on AI,Focus on AI,ORG,0.37878787878787873,0.0,en,1.0
the National Institute of Forest Science,the National Institute of Forest Science,ORG,0.03333333333333333,0.0,en,1.0
Pulmuone Management,Pulmuone Management,ORG,0.0,0.0,en,1.0
Samcheonpo Thermal Power Plant,Samcheonpo Thermal Power Plant,ORG,-0.15,0.0,en,1.0
AOS,AOS,ORG,-0.04956709956709958,0.0,en,1.0
ESA,ESA,ORG,0.25000000000000006,0.0,en,1.0
Supernatural Operation Team',Supernatural Operation Team',ORG,-0.04956709956709958,0.0,en,1.0
Nix',Nix',ORG,0.0,0.0,en,1.0
Illumio,Illumio,ORG,0.0,0.0,en,1.0
iOS,iOS,ORG,-0.04956709956709958,0.0,en,1.0
'Throne & Liberty,'Throne & Liberty,ORG,0.0,0.0,en,1.0
"Wayfarer, Skyler","Wayfarer, Skyler",ORG,0.0,0.0,en,1.0
Headliner,Headliner,ORG,0.0,0.0,en,1.0
the LG Evergreen Foundation,the LG Evergreen Foundation,ORG,0.25,0.0,en,1.0
Nodeul Island,Nodeul Island,ORG,0.0,0.0,en,1.0
The Pacific Law Firm's AI,The Pacific Law Firm's AI,ORG,0.13333333333333333,0.0,en,1.0
rainier,rainier,ORG,-0.25,0.0,en,1.0
Sacheon,Sacheon,ORG,0.25,0.0,en,1.0
the Sacheon Environmental Movement Federation,the Sacheon Environmental Movement Federation,ORG,-0.15,0.0,en,1.0
People Power Party,People Power Party,ORG,-0.15,0.0,en,1.0
Giant Games',Giant Games',ORG,-0.04956709956709958,0.0,en,1.0
The European Space Agency,The European Space Agency,ORG,0.4000000000000001,0.0,en,1.0
Super Nature Company',Super Nature Company',ORG,0.23484848484848483,0.0,en,1.0
The French Meteorological Agency,The French Meteorological Agency,ORG,-0.1,0.0,en,1.0
Durban Golf Club,Durban Golf Club,ORG,0.0,0.0,en,1.0
National Park Service Eastern Regional Headquarters,National Park Service Eastern Regional Headquarters,ORG,0.0,0.0,en,1.0
the Ministry of Employment and Labor,the Ministry of Employment and Labor,ORG,-0.0875,0.0,en,1.0
Jirisan National Park Jeonnam,Jirisan National Park Jeonnam,ORG,0.0,0.0,en,1.0
Myungmoon Pharmaceutical,Myungmoon Pharmaceutical,ORG,0.0,0.0,en,1.0
Jeonnam,Jeonnam,ORG,-0.2,0.0,en,1.0
Myungmoon Investment Development,Myungmoon Investment Development,ORG,0.0,0.0,en,1.0
the Korea Advanced Institute of Science and Technology,the Korea Advanced Institute of Science and Technology,ORG,0.2,0.0,en,1.0
the Kakao Golf Reservation Platform,the Kakao Golf Reservation Platform,ORG,0.0,0.0,en,1.0
Future Transition Policy Research Institute,Future Transition Policy Research Institute,ORG,0.0,0.0,en,1.0
the Seoul National University,the Seoul National University,ORG,-0.13333333333333333,0.0,en,1.0
the World Meteorological Organization,the World Meteorological Organization,ORG,0.21666666666666665,0.0,en,1.0
La Niña,La Niña,ORG,0.0,0.0,en,1.0
Daegu Citizen’s Health Playground,Daegu Citizen’s Health Playground,ORG,0.0,0.0,en,1.0
the Citizen’s Health Playground,the Citizen’s Health Playground,ORG,0.125,0.0,en,1.0
the Gyeongbuk Fire Department,the Gyeongbuk Fire Department,ORG,0.0,0.0,en,1.0
Yangji Tree Ranch,Yangji Tree Ranch,ORG,0.0,0.0,en,1.0
Evangelist,Evangelist,ORG,0.0,0.0,en,1.0
Ministry of Climate Change,Ministry of Climate Change,ORG,0.0,0.0,en,1.0
NIST,NIST,ORG,-0.0625,0.0,en,1.0
the Disaster and Safety Management Headquarters,the Disaster and Safety Management Headquarters,ORG,-0.033333333333333326,0.0,en,1.0
Hajang-myeon,Hajang-myeon,ORG,0.0,0.0,en,1.0
Samcheok-si,Samcheok-si,ORG,0.0,0.0,en,1.0
the Korea Forest Service Amid,the Korea Forest Service Amid,ORG,0.09166666666666667,0.0,en,1.0
the Korea Forest Service's,the Korea Forest Service's,ORG,0.0,0.0,en,1.0
the Korea Forest Service A,the Korea Forest Service A,ORG,0.4,0.0,en,1.0
Ministry of National Defense Surion,Ministry of National Defense Surion,ORG,-0.4,0.0,en,1.0
American AI,American AI,ORG,0.041666666666666664,0.0,en,1.0
Gyeonggi Provincial Office,Gyeonggi Provincial Office,ORG,0.0,0.0,en,1.0
Forest Service,Forest Service,ORG,0.0,0.0,en,1.0
Riot Games,Riot Games,ORG,0.10999999999999999,0.0,en,1.0
The Local Cultural Heritage Care Center,The Local Cultural Heritage Care Center,ORG,0.03571428571428571,0.0,en,1.0
National Assembly,National Assembly,ORG,0.0,0.0,en,1.0
Bukgap,Bukgap,ORG,0.01948051948051948,0.0,en,1.0
the People Power Party,the People Power Party,ORG,0.01948051948051948,0.0,en,1.0
the 'People's Safety 24',the 'People's Safety 24',ORG,0.0,0.0,en,1.0
The Ministry of the Interior and Safety,The Ministry of the Interior and Safety,ORG,0.05,0.0,en,1.0
National Safety 24,National Safety 24,ORG,0.05,0.0,en,1.0
National Disaster and Safety Portal',National Disaster and Safety Portal',ORG,0.05,0.0,en,1.0
Hyundai,Hyundai,ORG,0.0,0.0,en,1.0
Ice Star,Ice Star,ORG,0.0,0.0,en,1.0
Hyundai Department Store Group,Hyundai Department Store Group,ORG,0.0,0.0,en,1.0
the National Forest Service,the National Forest Service,ORG,0.0,0.0,en,1.0
Samcheok,Samcheok,ORG,-0.033333333333333326,0.0,en,1.0
