,phrase,label,sentiment,subjectivity,language,count
[ZDNet Korea],[ZDNet Korea],PERSON,0.2521306818181818,0.7462053571428572,en,3.7333333333333334
Kim Dong-yeon,Kim Dong-yeon,PERSON,-0.027027027027027032,0.1524024024024024,en,3.6999999999999997
Choi Ki-young,Choi Ki-young,PERSON,0.053746928746928754,0.3030303030303031,en,3.6999999999999997
Jeonnam Province,Jeonnam Province,PERSON,0.10204081632653061,0.313265306122449,en,3.5
Delcy Rodriguez,Delcy Rodriguez,PERSON,0.05102040816326531,0.09566326530612246,en,2.8
The Kyunghyang Shinmun,The Kyunghyang Shinmun,PERSON,0.0,0.0,en,2.8
Choo Mi-ae,Choo Mi-ae,PERSON,-0.10714285714285715,0.32142857142857145,en,2.8
Lee Jae-myung,Lee Jae-myung,PERSON,0.02736549165120594,0.13543599257884972,en,2.8
El Nino,El Nino,PERSON,0.07188405797101449,0.5889855072463769,en,2.3
Han Dong-hoon,Han Dong-hoon,PERSON,0.008722620662919171,0.08504555146346192,en,2.233333333333333
Yi Sun,Yi Sun,PERSON,0.1706349206349206,0.2341269841269841,en,2.0
Nicolas Maduro,Nicolas Maduro,PERSON,-0.01644736842105263,0.12828947368421054,en,1.9
Jeong Ji-yoon,Jeong Ji-yoon,PERSON,0.008771929824561401,0.42105263157894735,en,1.9
Han Soobin,Han Soobin,PERSON,-0.15789473684210525,0.2105263157894737,en,1.9
Naver Webtoon,Naver Webtoon,PERSON,0.0,0.0,en,1.9
Maria Corina Machado,Maria Corina Machado,PERSON,0.07518796992481203,0.14097744360902256,en,1.9
Moonhyeong Kim,Moonhyeong Kim,PERSON,0.0,0.3508771929824561,en,1.9
Moon Jae,Moon Jae,PERSON,-0.2631578947368421,0.15789473684210525,en,1.9
Yonhap News,Yonhap News,PERSON,-0.14035087719298245,0.35745614035087725,en,1.9
OB Beer,OB Beer,PERSON,-0.3157894736842105,0.35964912280701755,en,1.9
Kim Hyun-soo,Kim Hyun-soo,PERSON,-0.03289473684210526,0.1162280701754386,en,1.9
Hwang Han-jae,Hwang Han-jae,PERSON,-0.026315789473684213,0.11403508771929825,en,1.9
Han Subin,Han Subin,PERSON,0.17192982456140352,0.5899122807017544,en,1.9
Byeong-moo Park,Byeong-moo Park,PERSON,0.0,0.0,en,1.9
Taek-jin Kim,Taek-jin Kim,PERSON,0.0,0.0,en,1.9
Yeon Sang-ho,Yeon Sang-ho,PERSON,0.0,0.0,en,1.8
Ulsan Changgyeong-KOSHA,Ulsan Changgyeong-KOSHA,PERSON,0.4835115864527629,0.7538621509209745,en,1.7
Kyunghyang Shinmun,Kyunghyang Shinmun,PERSON,0.23529411764705885,0.4411764705882353,en,1.7
Oh Tae-seok,Oh Tae-seok,PERSON,0.0,0.0,en,1.625
Cheonwangbong Peak,Cheonwangbong Peak,PERSON,0.0,0.0,en,1.6
Yi Sun-sin,Yi Sun-sin,PERSON,0.3164021164021164,0.564021164021164,en,1.5
Donald Trump,Donald Trump,PERSON,0.0125,0.06666666666666668,en,1.3333333333333333
Park Min-sik,Park Min-sik,PERSON,0.0,0.05625000000000001,en,1.333333333333333
Kakao VX,Kakao VX,PERSON,0.0,0.0,en,1.2000000000000002
Min Kyung-seon,Min Kyung-seon,PERSON,0.3941609977324263,0.7642290249433108,en,1.2
Ha Jung-woo,Ha Jung-woo,PERSON,0.016697588126159558,0.09851576994434139,en,1.1666666666666665
Gimpo Cheongsol Tree Ranch,Gimpo Cheongsol Tree Ranch,PERSON,0.29090909090909095,0.9272727272727272,en,1.1
Lee Hwa-young,Lee Hwa-young,PERSON,-0.07500000000000001,0.4041666666666667,en,1.0
Jiyoon Jeong,Jiyoon Jeong,PERSON,0.0,0.0,en,1.0
Mark Carney,Mark Carney,PERSON,0.0,0.0875,en,1.0
Xi Jinping,Xi Jinping,PERSON,0.0,0.0875,en,1.0
Eunsong Kim,Eunsong Kim,PERSON,-0.3,0.4,en,1.0
Kim Moon-hyung,Kim Moon-hyung,PERSON,-0.3,0.4,en,1.0
Ban Ki-woong,Ban Ki-woong,PERSON,0.0,0.06666666666666667,en,1.0
Seongdong-gu Seongdong-gu,Seongdong-gu Seongdong-gu,PERSON,-0.5,0.5,en,1.0
Han Soo-bin Heavy,Han Soo-bin Heavy,PERSON,-0.09675925925925927,0.26064814814814813,en,1.0
Monk Jae-beom,Monk Jae-beom,PERSON,0.09999999999999999,0.3833333333333333,en,1.0
Song Byeong-hoon,Song Byeong-hoon,PERSON,-0.07500000000000001,0.4041666666666667,en,1.0
Half Andong,Half Andong,PERSON,0.006060606060606062,0.3090909090909091,en,1.0
[ZDNet Korea] Foreign,[ZDNet Korea] Foreign,PERSON,0.10277777777777776,0.4527777777777778,en,1.0
Namjoong Kim,Namjoong Kim,PERSON,0.5,1.0,en,1.0
Michael Freilich,Michael Freilich,PERSON,0.1,0.3,en,1.0
Lee Sang-hong,Lee Sang-hong,PERSON,0.05000000000000002,0.5,en,1.0
Santos City,Santos City,PERSON,-0.018749999999999996,0.21875,en,1.0
Lim Hyun-jin,Lim Hyun-jin,PERSON,0.0,0.0,en,1.0
Park Ji-hyeon,Park Ji-hyeon,PERSON,-0.1,0.1,en,1.0
Lim Geun-bae,Lim Geun-bae,PERSON,0.0,0.0,en,1.0
Gray Raven,Gray Raven,PERSON,0.39999999999999997,0.6,en,1.0
Lee Jun-hwan,Lee Jun-hwan,PERSON,0.0,0.0,en,1.0
Kim Gyu-sik,Kim Gyu-sik,PERSON,0.1,0.4,en,1.0
Kim Tae-wook,Kim Tae-wook,PERSON,-0.08333333333333333,0.20833333333333331,en,1.0
Garorim Bay,Garorim Bay,PERSON,0.0,0.0,en,1.0
Kim Yong-ri,Kim Yong-ri,PERSON,-0.3333333333333333,0.6666666666666666,en,1.0
